Year,Lake,Species,Grand_Total,Comments,Functional_Feeding_Group
1901,Erie,Sauger,,,Piscivore
1901,Erie,Suckers,,,Benthic omnivore
1901,Erie,Walleye,,,Piscivore
1901,Erie,Walleye and Blue Pike,1851,,Piscivore
1901,Erie,White Bass,,,Piscivore
1901,Erie,Yellow Perch,508,,Invertivore
1902,Erie,Blue Pike,,,Piscivore
1902,Erie,Burbot,,,Piscivore
1902,Erie,Carp,,,Benthic omnivore
1902,Erie,Channel Catfish and Bullheads,82,,Benthic omnivore
1902,Erie,Cisco,2518,,Planktivore
1902,Erie,Freshwater Drum,,,Benthic invertivore
1902,Erie,Lake Sturgeon,145,,Benthic invertivore
1902,Erie,Lake Whitefish,450,,Benthic invertivore
1902,Erie,Northern Pike,1074,,Piscivore
1902,Erie,Sauger,,,Piscivore
1902,Erie,Suckers,,,Benthic omnivore
1902,Erie,Walleye,,,Piscivore
1902,Erie,Walleye and Blue Pike,1455,,Piscivore
1902,Erie,White Bass,,,Piscivore
1902,Erie,Yellow Perch,566,,Invertivore
1903,Erie,Blue Pike,4915,,Piscivore
1903,Erie,Burbot,14,,Piscivore
1903,Erie,Carp,3547,,Benthic omnivore
1903,Erie,Channel Catfish and Bullheads,261,,Benthic omnivore
1903,Erie,Cisco,10522,,Planktivore
1903,Erie,Freshwater Drum,643,,Benthic invertivore
1903,Erie,Lake Sturgeon,445,,Benthic invertivore
1903,Erie,Lake Whitefish,637,,Benthic invertivore
1903,Erie,Northern Pike,865,,Piscivore
1903,Erie,Sauger,2014,,Piscivore
1903,Erie,Suckers,877,,Benthic omnivore
1903,Erie,Walleye,1598,,Piscivore
1903,Erie,Walleye and Blue Pike,6981,,Piscivore
1903,Erie,White Bass,33,,Piscivore
1903,Erie,Yellow Perch,1292,,Invertivore
1904,Erie,Blue Pike,,,Piscivore
1904,Erie,Burbot,,,Piscivore
1904,Erie,Carp,,,Benthic omnivore
1904,Erie,Channel Catfish and Bullheads,80,,Benthic omnivore
1904,Erie,Cisco,2650,,Planktivore
1904,Erie,Freshwater Drum,,,Benthic invertivore
